District,Area,YEAR,Max_Temp,Min_Temp,Rainfall, Humidity,Wind,Cloud,Sunshine,ALT
17,2830,1987,34.6,21.65,466.25,79,1.925,5.275,5.65,35
18,71990,1987,37.175,22.425,143.25,74.75,2.25,3.7,6.55,10
1,7960,1988,35.325,24.075,279.75,82,1.1,4.65,6.55,4
2,43950,1988,37.15,22.475,281.75,78.25,1.775,3.875,6.4,20
3,0,1988,34.675,23.7,323.25,77.5,3.725,4,6.825,6
4,52435,1988,34.675,23.275,223,82,2.525,4.225,6.525,10
5,119975,1988,37.25,23.9,362.25,77,1.575,4.65,6.75,9
6,71820,1988,37.05,22.05,160.5,68.5,1.15,3.375,6.894,37
7,154590,1988,38.25,23.375,302.5,78.75,2.95,4.025,6.85,9
8,121835,1988,37.75,23.85,270.25,76.25,3.925,4.675,6.15,7
9,26680,1988,37.15,24.125,243.75,79.75,2.075,4.525,6.75,4
10,65100,1988,34.875,23.15,382.5,81,2.375,4.45,5.575,19
11,4320,1988,34.875,23.525,298.75,81.75,1.475,4.025,6.65,6
12,84055,1988,35.575,22.625,180.25,74.75,1.975,3.9,7.225,14
13,1125,1988,35.3,24.325,259.75,83,2.475,4.3,4.475,3
14,62055,1988,39.375,22.2,160.5,73.5,2.35,3.85,7.1,20
15,125,1988,35.05,23.175,343.75,76,0.925,3.525,5.825,63
16,266230,1988,35.8,22.225,214,78.5,2.3,3.725,6.825,34
17,965,1988,35.275,21.6,633.5,79.5,1.75,5.05,5.675,35
18,32045,1988,36.7,22.9,262.75,76.25,2.4,4.125,6.05,10
1,4580,1989,35.425,24.075,115,80.25,1.475,4.075,7.775,4
2,40730,1989,38.6,22.4,96.25,72.25,2,2.95,7.225,20
3,0,1989,34.6,23.875,144.75,75.25,4.925,3.775,7.475,6
4,60550,1989,34.975,23.3,153.25,81,2.3,3.8,7.075,10
5,101320,1989,37.875,24.375,158,71.5,2.075,3.75,7.5,9
6,49280,1989,38.1,21.625,165.5,64,1.3,2.725,7.075,37
7,152170,1989,37.7,23.375,158.5,75,3.075,3.075,7.5,9
8,123710,1989,38.825,23.55,100.5,72,3.275,3.85,7.025,7
9,25590,1989,37.75,23.725,124.5,75.5,2.325,3.55,7.8,4
10,50170,1989,36.125,22.975,149.5,77.5,1.975,3.9,6.4,19
11,3180,1989,36.05,23.8,162.75,78.25,1.15,3.5,6.975,6
12,64910,1989,39.575,22.125,61,66.5,2.075,3,7.2,14
13,980,1989,35.375,24.325,152.75,79.75,2.1,3.7,6.15,3
14,55550,1989,40.075,21.925,105.25,66.25,2.15,3.05,7.375,20
15,2700,1989,36.025,23.3,153.5,71.25,1.175,3.25,6.225,63
16,284170,1989,37.125,21.525,139,73,2.375,3.275,6.825,34
17,2940,1989,35.525,22.025,459.25,75.25,1.475,4.625,6.225,35
18,97870,1989,37.425,22.975,145.5,73.75,1.9,2.675,6.75,10
1,4280,1990,35.65,22.9,264.75,84.5,1.175,5.125,6.625,4
2,36610,1990,35.575,22.225,183.75,82.25,1.975,4.05,6.6,20
3,0,1990,33.675,22.95,294,78.25,3.275,4.9,6.025,6
4,60990,1990,33.925,22.325,267.75,84.25,1.3,4.4,6.25,10
5,106650,1990,34.675,23.525,184,78.25,1.875,4.85,7.275,9
6,63010,1990,35.25,21.675,200,77.25,1.3,3.95,6.8,37
7,171160,1990,34.9,22.9,246.75,81.75,2.45,4.425,6.9,9
8,132410,1990,36.125,23.25,173.75,79.5,3.075,4.7,6.475,7
9,26950,1990,36.075,23.5,198,81.25,1.75,4.45,6.55,4
10,57380,1990,34.45,21.775,275.5,81.5,1.55,4.625,5.55,19
11,1300,1990,34,23.325,361.5,82.5,1.05,4.4,5.8,6
12,61540,1990,35.925,22.375,192.25,78,1.725,4.225,6.5,14
13,1160,1990,34.075,23.9,234.5,84.5,1.65,4.6,5.45,3
14,56170,1990,37.05,21.7,176.75,78.5,2,4.075,6.9,20
15,2700,1990,34.9,22.175,228.75,78,1.05,4.15,6.325,63
16,319530,1990,34.8,21.575,240.75,80.25,2,4.425,6.25,34
17,2380,1990,34.775,21.35,456.75,79.75,1.625,5.55,4.8,35
18,98710,1990,34.55,22.4,167.5,80.25,1.9,4.025,5.975,10
1,3880,1991,35.025,23.925,211,83.25,1.475,4.7,6.4,4
2,32810,1991,36.725,22.45,178,79.5,1.675,4.2,6.05,20
3,0,1991,33.8,24.025,345,79,3.325,4.375,7.025,6
4,50280,1991,34.825,22.7,317.25,85.5,1.875,4.525,5.625,10
5,104910,1991,35.7,23.875,237,73.5,1.75,4.575,7.275,9
6,59060,1991,36.7,21.475,198.75,73,1.175,3.975,6.8,37
7,190420,1991,36.55,23.125,191,79.25,2.425,4,6.3,9
8,144280,1991,37.775,23.925,169.5,76.5,2.975,4.35,6.35,7
9,26430,1991,36.525,24.375,146.5,79.25,2.025,3.975,6.675,4
10,60460,1991,35.325,20.55,350.75,80.25,1.525,4.6,4.525,19
11,1430,1991,34.175,23.9,342.25,81.5,1.2,3.85,5.25,6
12,71750,1991,38.35,22.9,150.75,73.75,1.75,3.925,6.55,14
13,1530,1991,35.025,24.7,259.25,81.75,1.575,4.1,5.675,3
14,48040,1991,38.575,22.55,101.5,73.25,1.875,3.775,6.75,20
15,70,1991,35.25,22.675,323.5,76.5,1.25,4,6.075,63
16,323640,1991,35.525,21.55,215.5,78.25,1.95,4.425,5.2,34
17,1070,1991,34.15,21.25,684.75,80.75,1.575,5.65,4.35,35
18,104450,1991,36.175,22.475,237.25,77.75,2.1,3.85,5.575,10
1,4850,1992,36.075,24.325,99,81.75,1.425,3.675,7.125,4
2,29210,1992,37.375,22.425,93,72.25,2.125,2.675,7.625,20
3,0,1992,34.475,24.25,174.75,80,3.65,3.95,6.625,6
4,50160,1992,35.55,23.35,109.25,82.75,2.4,3.15,7.075,10
5,100750,1992,36.95,24.45,77.5,73.5,2.025,3.2,7.6,9
6,40920,1992,38.25,21.475,76.25,67.75,1.55,2.875,7.2,37
7,179100,1992,38.025,22.75,114.75,72,2.25,2.975,7.25,9
8,101850,1992,38.9,23.55,131.75,72.75,2.625,3.425,7.475,7
9,18340,1992,37.475,23.55,87.75,76.75,2.15,2.85,7.875,4
10,36920,1992,36.45,22.75,111.5,75.5,1.9,3.35,6.775,19
