District,Area,YEAR,Max_Temp,Min_Temp,Rainfall,Humidity,Wind,Cloud,Bright Sunshine,ALT
6,880865,1981,28.7,13.1333333333333,16.33333333,71.66666667,0.533333333,1.3,6.554666667,37
7,683590,1981,30.3,14.8333333333333,30.66666667,73,0.3,0.733333333333334,7.313793103,9
8,665235,1981,31.4,13.7333333333333,49.33333333,73.66666667,0.833333333,1.56666666666667,7.233333333,7
9,985225,1981,30.63333333,14.8333333333333,21.66666667,75,0.966666667,1.2,7.49,4
11,717150,1981,30.53333333,14.8666666666667,8,68,0.1,1,7.306896552,6
12,530875,1981,30.36666667,13,16,70.66666667,0.4,0.766666666666667,7.026436782,14
13,682795,1981,30.26666667,16.7,1,66.33333333,1.5,1.6,6.843678161,3
14,1082770,1981,28.36666667,13.4,31.33333333,72,1.033333333,0.9,8.333333333,20
15,87095,1981,30.13333333,18.3,8,78.33333333,1.5,2.86666666666667,7.448148148,63
16,1389270,1981,28.43333333,13.3333333333333,15.66666667,78.33333333,0.533333333,1,9.2,34
17,1137590,1981,30.96666667,15.2666666666667,8.666666667,70.66666667,1,1.36666666666667,8.266666667,35
1,920925,1982,29.7,13.6666666666667,17.66666667,77,0.3,1.06666666666667,7.933333333,4
2,636145,1982,29.03333333,13.6666666666667,6.333333333,74.33333333,0.633333333,1.03333333333333,7.166666667,20
3,549115,1982,29.4,15.63333,16.33333,73.33333,1,0.933333,8.733333,6
4,925195,1982,29,13.8666666666667,15.33333333,75.66666667,0.4,0.766666666666667,7.533333333,10
5,650250,1982,29.13333333,14.6666666666667,21.66666667,73.66666667,0.3,1.33333333333333,7.5,9
6,875150,1982,28,11.9,13.33333333,72.33333333,0.233333333,1.3,6.554666667,37
7,714790,1982,28.63333333,14.7,40,74,0.2,0.666666666666667,7.313793103,9
8,651930,1982,30.56666667,13.3,14,71.66666667,0.733333333,1.33333333333333,6.7,7
9,989970,1982,29.5,14.4666666666667,27,76.66666667,1,0.933333333333333,7.49,4
11,698420,1982,29.1,13.9,25.66666667,68.66666667,0.2,0.866666666666667,7.306896552,6
12,520260,1982,31.26666667,12.4333333333333,27.66666667,71,0.533333333,0.9,7.026436782,14
13,688520,1982,29.26666667,16.3666666666667,14,67,1.266666667,1.53333333333333,6.843678161,3
14,1061115,1982,29.23333333,12.7666666666667,20.66666667,74,1.133333333,0.933333333333333,7.133333333,20
15,81320,1982,29.26666667,18,2.333333333,78,0.6,2.8,7.448148148,63
16,1381250,1982,27.26666667,13,2.666666667,76.33333333,0.3,0.733333333333334,7.066666667,34
17,1142050,1982,29.23333333,13.8,2,73,0.9,1.5,7.866666667,35
1,933275,1983,29.93333333,14.5,27.66666667,83.33333333,0.3,1.7,8.133333333,4
2,644675,1983,29.23333333,14.2666666666667,14,74.66666667,0.7,1.2,7.833333333,20
3,556480,1983,29.4,16.46667,36.66667,75.33333,1.166667,2.166667,8.266667,6
4,926855,1983,29.66666667,14.7333333333333,15,78,1.3,1.56666666666667,7.433333333,10
5,648480,1983,29.6,15.5333333333333,10.33333333,70.33333333,0.366666667,1.66666666666667,7.866666667,9
6,880805,1983,27.83333333,11.9333333333333,26,70,0.5,1.26666666666667,6.554666667,37
7,683225,1983,28.6,15.2666666666667,8.333333333,75,0.266666667,0.9,7.313793103,9
8,654045,1983,30.53333333,13.8333333333333,21.66666667,72.66666667,0.933333333,1.73333333333333,7.533333333,7
9,1003265,1983,29.33333333,14.2333333333333,14.66666667,81.33333333,1.466666667,2.06666666666667,7.636666667,4
11,701895,1983,30.33333333,16,4,79,0.633333333,1.33333333333333,7.306896552,6
